"日期","收支类型","类别","账户","金额","备注"
"2025年11月10日","收入","代剪","未关联","10",""
"2025年11月09日","支出","餐饮","未关联","19.8","晚餐"
"2025年11月09日","支出","餐饮","未关联","8","四果汤"
"2025年11月09日","收入","其它","未关联","2","红果短剧提现2元"
"2025年11月09日","支出","餐饮","未关联","11","午餐"
"2025年11月08日","支出","餐饮","未关联","14",""
"2025年11月08日","支出","餐饮","未关联","4.99","买水"
"2025年11月08日","支出","购物","未关联","29.9","牙斑净"
"2025年11月08日","收入","其它","未关联","10","共创"
"2025年11月08日","支出","餐饮","未关联","17.8","午餐"
"2025年11月07日","支出","购物","未关联","9.99","买火鸡面"
"2025年11月07日","支出","餐饮","未关联","18.7","晚餐"
"2025年11月07日","支出","餐饮","未关联","2.49","买水"
"2025年11月07日","支出","餐饮","未关联","10","午餐"
"2025年11月07日","支出","医疗","未关联","12.1","西瓜霜"
"2025年11月07日","支出","购物","未关联","17.3","口腔溃疡贴"
"2025年11月07日","支出","餐饮","未关联","4",""
"2025年11月06日","收入","代剪","未关联","20",""
"2025年11月06日","支出","餐饮","未关联","15.8","晚餐"
"2025年11月06日","支出","餐饮","未关联","4","买水"
"2025年11月06日","支出","餐饮","未关联","12.2","午餐"
"2025年11月06日","支出","餐饮","未关联","4.5","早餐"
"2025年11月05日","收入","加后期","未关联","5",""
"2025年11月05日","支出","餐饮","未关联","12.6","晚餐"
"2025年11月05日","支出","餐饮","未关联","13.1","午餐"
"2025年11月05日","支出","餐饮","未关联","4","早餐"
"2025年11月04日","支出","餐饮","未关联","11","晚餐"
"2025年11月04日","支出","餐饮","未关联","4.5","尖叫一瓶"
"2025年11月04日","支出","餐饮","未关联","16.9","午餐"
"2025年11月04日","支出","餐饮","未关联","4.5","早餐"
"2025年11月03日","支出","餐饮","未关联","11.7","晚餐"
"2025年11月03日","支出","购物","未关联","8.9","400ml玻璃水杯"
"2025年11月03日","支出","购物","未关联","19.8","买维维豆奶"
"2025年11月03日","支出","购物","未关联","0.03","刷播放量"
"2025年11月03日","支出","日用","未关联","10.2","水费"
"2025年11月03日","支出","餐饮","未关联","11.9","午餐"
"2025年11月03日","支出","购物","未关联","2","刷播放量"
"2025年11月03日","支出","购物","未关联","4.5","早餐"
"2025年11月02日","支出","餐饮","未关联","14","晚餐"
"2025年11月02日","支出","餐饮","未关联","9.9","瑞幸一杯"
"2025年11月02日","收入","加后期","未关联","3",""
"2025年11月02日","收入","代剪","未关联","15",""
"2025年11月02日","收入","加后期","未关联","3",""
"2025年11月02日","支出","餐饮","未关联","14.6","午餐"
"2025年11月02日","支出","餐饮","未关联","4.5","早餐"
"2025年11月02日","收入","代剪","未关联","25",""
"2025年11月02日","收入","素材群","未关联","25",""
"2025年11月01日","支出","购物","未关联","4.6","剪刀"
"2025年11月01日","支出","餐饮","未关联","12","炒饭晚餐"
"2025年11月01日","支出","餐饮","未关联","17.87","午餐"
